OK,ASMP,1,333.00,333.00
OK,BSGD,1,-197.00,-197.00
OR,BSDF,1,6433.00,6433.00
OR,BSWFT,2,8331.00,4165.50
OR,BSMP,1,633.00,633.00
PA,BSA*,1,7289.00,7289.00
PA,ASAP,1,1503.00,1503.00
PA,BSDF,2,906.00,453.00
PA,BSMP,1,333.00,333.00
PA,BSGD,2,106.00,53.00
SC,BSMC,1,10251.00,10251.00
SC,BSA,1,9191.00,9191.00
SC,ASMP,6,12949.00,2158.1666
SC,BSMP,3,299.00,99.6666
SC,BSGD,1,-197.00,-197.00
SC,BSWFT,2,-1134.00,-567.00
TN,BSA,1,1294.00,1294.00
TN,BSWFT,1,403.00,403.00
TN,BSGD,1,-197.00,-197.00
TX,BSEB,1,6297.00,6297.00
TX,BSAP,2,5964.00,2982.00
TX,BSGD,3,6825.00,2275.00
TX,BSA,8,9450.00,1181.25
TX,BSMP,6,6626.00,1104.3333
TX,ASAP,4,4012.00,1003.00
TX,BSDF,5,3015.00,603.00
TX,BSMC,2,1106.00,553.00
TX,ASMP,7,2181.00,311.5714
TX,BSWFT,6,-2049.00,-341.50
UT,BSEB,1,10258.00,10258.00
UT,BSA,3,12984.00,4328.00
UT,BSMP,3,5347.00,1782.3333
UT,BSAP,1,1003.00,1003.00
VA,BSGD,1,7197.00,7197.00
VA,BSMP,2,966.00,483.00
VA,BSDF,1,203.00,203.00
WA,BSAP,2,9901.00,4950.50
WA,BSGD,1,2898.00,2898.00
WA,ASAP,1,1503.00,1503.00
WA,BSMP,1,633.00,633.00
WA,BSWFT,4,-7988.00,-1997.00
WI,BSGD,1,3761.00,3761.00
WI,BSMP,2,5981.00,2990.50
WI,ASMP,3,599.00,199.6666
WI,BSEB,1,-3597.00,-3597.00
WV,BSMP,1,133.00,133.00
WY,BSMP,1,333.00,333.00
WY,BSMC,1,303.00,303.00
